"","media","minCV","minVQ"
"0%",37.2957142857143,188.924675915694,40.2985045567474
"10%",37.9557142857143,210.617715335657,50.2150010937744
"20%",38.1947619047619,227.991236097033,54.8783420892747
"30%",38.2378571428571,246.417076590488,56.3694557523005
"40%",38.3085714285714,269.150479996716,57.9271598849962
"50%",38.978619047619,288.752091986057,61.6238767061704
"60%",40.1493333333333,299.10392739223,73.9043554894604
"70%",41.0743761904762,309.861623495666,90.5378880889092
"80%",41.3256142857143,331.130489447193,97.2782314071578
"90%",41.3862166666667,352.543541569802,105.091298498729
"100%",41.6266666666667,467.755882794966,139.19864629303
