"","mediana","MEDA","indice.variacion.mediana","RIC","N","n.NA"
"media",8.25927380952381,0.306738095238097,0.0371386277186253,0.616011904761906,100,0
"minCV",9.37647659338317,0.38345657374466,0.0408955933420939,0.770109170437564,100,0
"minVQ",9.04962369044733,1.11154546943514,0.122827811128597,2.254840301921,100,0
