"","media","minCV","minVQ"
"0%",8.7163125,12.1646573186134,2.12583755500443
"10%",9.085445,13.3817203066514,6.54069890794353
"20%",9.31141279461279,14.1058565146968,7.14368813958794
"30%",9.3894068762804,14.5760709317286,7.86984657251828
"40%",9.54601096256684,14.7969595605891,8.56142488757855
"50%",9.67557945924488,15.0102400514999,9.259151374564
"60%",9.82656730803177,15.3957197832417,9.65550986355461
"70%",10.0054880331302,15.6799438938128,10.1493194519607
"80%",10.2152258903134,16.0132976543714,10.8935449817283
"90%",10.476161026936,16.9452336071847,11.5000688076732
"100%",11.5760242718447,19.1294147782213,13.9530108075981
