"","media","minCV","minVQ"
"0%",35.37325,257.115227259816,-25.9244686183096
"10%",36.039475,265.411307646409,7.05260684217187
"20%",36.8091,267.463002167912,30.0327656977411
"30%",37.1958,269.276998695476,43.9285825985692
"40%",37.4928,283.426369330997,48.7199253550212
"50%",37.8451190476191,294.078060770024,51.5439478395803
"60%",38.1786190476191,302.143867493509,61.2225976347263
"70%",38.5942619047619,334.885334088868,75.1812268359873
"80%",39.7690095238095,399.631447164025,82.9150874775045
"90%",42.2508,467.714661514015,88.0248548184874
"100%",42.294,692.295759428229,88.3678522129021
