"","mediana","MEDA","indice.variacion.mediana","RIC","N","n.NA"
"media",9.67557945924488,0.347561403508772,0.035921507851055,0.688080183705186,100,0
"minCV",15.0102400514999,0.808932544216387,0.0538920457928022,1.49569104197142,100,0
"minVQ",9.259151374564,1.5649886262981,0.169020740993317,2.93525093726831,100,0
