"","media","desviacion.tipica","varianza","CV","asimetria","cursosis","N","n.NA"
"media",9.74758627552193,0.568540033158291,0.323237769303631,0.0583262376026366,0.612771229104633,0.571183485828203,100,0
"minCV",15.1247665530206,1.29777910295658,1.68423060007078,0.0858049014116781,0.283777969692084,0.160533937220046,100,0
"minVQ",9.00706216133758,2.25124028170856,5.06808280598723,0.249941683690372,-0.402034875785082,0.583815197320873,100,0
