"","mediana","MEDA","indice.variacion.mediana","RIC","N","n.NA"
"media",5.48846666666667,0.1794,0.0326867248897689,0.348047619047619,100,0
"minCV",11.5958413475104,0.754783260026747,0.065090857783148,1.51326640611455,100,0
"minVQ",6.03601169768294,0.485121674958881,0.0803712284297106,0.932025877641976,100,0
