Species,Population,Temperature,mpa,Dish,Hour,Germinated,Germinable
AETR,029AT,20,-0.6,B,111.3333333,0,25
AETR,029AT,20,-0.6,B,125.7166667,0,25
AETR,029AT,20,-0.6,B,134.8666667,1,25
AETR,029AT,20,-0.6,C,6.966666667,1,24
AETR,029AT,20,-0.6,C,13.71666667,11,24
AETR,029AT,20,-0.6,C,18.28333333,0,24
AETR,029AT,20,-0.6,C,21.36666667,0,24
AETR,029AT,20,-0.6,C,28.38333333,3,24
AETR,029AT,20,-0.6,C,33.48333333,1,24
AETR,029AT,20,-0.6,C,37.25,2,24
AETR,029AT,20,-0.6,C,40.55,1,24
AETR,029AT,20,-0.6,C,46.88333333,2,24
AETR,029AT,20,-0.6,C,51.73333333,0,24
AETR,029AT,20,-0.6,C,57.38333333,1,24
AETR,029AT,20,-0.6,C,62.48333333,1,24
AETR,029AT,20,-0.6,D,6.966666667,7,25
AETR,029AT,20,-0.6,D,13.71666667,10,25
AETR,029AT,20,-0.6,D,18.28333333,2,25
AETR,029AT,20,-0.6,D,21.36666667,1,25
AETR,029AT,20,-0.6,D,28.38333333,1,25
AETR,029AT,20,-0.6,D,33.48333333,1,25
AETR,029AT,20,-0.6,D,37.25,2,25
AETR,029AT,20,-0.6,D,40.55,0,25
AETR,029AT,20,-0.6,D,46.88333333,0,25
AETR,029AT,20,-0.6,D,51.73333333,0,25
AETR,029AT,20,-0.6,D,57.38333333,0,25
AETR,029AT,20,-0.6,D,62.48333333,0,25
AETR,029AT,20,-0.6,D,75.93333333,0,25
AETR,029AT,20,-0.6,D,88.66666667,0,25
AETR,029AT,20,-0.6,D,100.6,1,25
AETR,029AT,20,-0.8,A,6.966666667,0,24
AETR,029AT,20,-0.8,A,13.71666667,9,24
AETR,029AT,20,-0.8,A,18.28333333,4,24
AETR,029AT,20,-0.8,A,21.36666667,0,24
AETR,029AT,20,-0.8,A,28.38333333,2,24
AETR,029AT,20,-0.8,A,33.48333333,1,24
AETR,029AT,20,-0.8,A,37.25,0,24
AETR,029AT,20,-0.8,A,40.55,1,24
AETR,029AT,20,-0.8,A,46.88333333,1,24
AETR,029AT,20,-0.8,A,51.73333333,0,24
AETR,029AT,20,-0.8,A,57.38333333,2,24
AETR,029AT,20,-0.8,A,62.48333333,0,24
AETR,029AT,20,-0.8,A,75.93333333,4,24
AETR,029AT,20,-0.8,B,6.966666667,2,25
AETR,029AT,20,-0.8,B,13.71666667,9,25
AETR,029AT,20,-0.8,B,18.28333333,1,25
AETR,029AT,20,-0.8,B,21.36666667,1,25
AETR,029AT,20,-0.8,B,28.38333333,1,25
AETR,029AT,20,-0.8,B,33.48333333,1,25
AETR,029AT,20,-0.8,B,37.25,1,25
AETR,029AT,20,-0.8,B,40.55,0,25
