Species,Population,mpa,Dish,Hour,Germinated,Germinable
Water,177,1,2,2228,38,55
Water,177,1,2,2251,38,55
Water,177,1,2,2274,38,55
Water,177,1,2,2298,38,55
Water,177,1,2,2322,38,55
Water,177,1,2,2347,38,55
Water,177,1,2,2372,38,55
Water,177,1,2,2398,38,55
Water,177,1,2,2423,38,55
Water,177,1,2,2446,38,55
Water,177,1,2,2470,38,55
Water,177,1,2,2493,38,55
Water,177,1,2,2517,38,55
Water,177,1,2,2538,38,55
Water,177,1,2,2569,38,55
Water,177,1,2,2592,38,55
Water,177,1,2,2615,38,55
Water,177,1,2,2636,38,55
Water,177,1,2,2660,38,55
Water,177,1,2,2683,38,55
Water,177,1,2,2707,38,55
Water,177,1,2,2731,38,55
Water,177,1,2,2754,38,55
Water,177,1,2,2783,38,55
Water,177,1,2,2807,38,55
Water,177,1,2,2830,38,55
DMSO,177,1,2,0,2,48
DMSO,177,1,2,21,10,48
DMSO,177,1,2,28,18,48
DMSO,177,1,2,42,24,48
DMSO,177,1,2,66,26,48
DMSO,177,1,2,93,26,48
DMSO,177,1,2,116,26,48
DMSO,177,1,2,144,26,48
DMSO,177,1,2,165,26,48
DMSO,177,1,2,189,26,48
DMSO,177,1,2,213,26,48
DMSO,177,1,2,235,26,48
DMSO,177,1,2,261,26,48
DMSO,177,1,2,285,26,48
DMSO,177,1,2,309,26,48
DMSO,177,1,2,336,26,48
DMSO,177,1,2,361,26,48
DMSO,177,1,2,383,26,48
DMSO,177,1,2,408,26,48
DMSO,177,1,2,433,26,48
DMSO,177,1,2,456,26,48
DMSO,177,1,2,481,26,48
DMSO,177,1,2,504,26,48
DMSO,177,1,2,527,26,48
DMSO,177,1,2,549,26,48
DMSO,177,1,2,575,26,48
DMSO,177,1,2,598,26,48
DMSO,177,1,2,620,26,48
DMSO,177,1,2,647,26,48
DMSO,177,1,2,668,26,48
DMSO,177,1,2,693,26,48
DMSO,177,1,2,719,26,48
DMSO,177,1,2,740,26,48
DMSO,177,1,2,765,26,48
DMSO,177,1,2,790,26,48
