Grouping	Treatment	Dish	Start	End	G	PG	
176	A	18.75	1	43	Inf	18	25
177	A	21.25	1	0	1	0	25
178	A	21.25	1	1	2	0	25
179	A	21.25	1	2	3	0	25
180	A	21.25	1	3	4	0	25
181	A	21.25	1	4	5	0	25
182	A	21.25	1	5	6	0	25
183	A	21.25	1	6	7	0	25
184	A	21.25	1	7	8	0	25
185	A	21.25	1	8	9	0	25
186	A	21.25	1	9	10	4	25
187	A	21.25	1	10	11	0	25
188	A	21.25	1	11	12	3	25
189	A	21.25	1	12	13	0	25
190	A	21.25	1	13	14	0	25
191	A	21.25	1	14	15	0	25
192	A	21.25	1	15	16	0	25
193	A	21.25	1	16	17	0	25
194	A	21.25	1	17	18	0	25
195	A	21.25	1	18	19	0	25
196	A	21.25	1	19	20	0	25
197	A	21.25	1	20	21	0	25
198	A	21.25	1	21	22	0	25
199	A	21.25	1	22	23	0	25
200	A	21.25	1	23	24	0	25
201	A	21.25	1	24	25	0	25
202	A	21.25	1	25	26	0	25
203	A	21.25	1	26	27	0	25
204	A	21.25	1	27	28	0	25
205	A	21.25	1	28	29	0	25
206	A	21.25	1	29	30	0	25
207	A	21.25	1	30	31	0	25
208	A	21.25	1	31	32	0	25
209	A	21.25	1	32	33	0	25
210	A	21.25	1	33	34	0	25
211	A	21.25	1	34	35	0	25
212	A	21.25	1	35	36	0	25
213	A	21.25	1	36	37	0	25
214	A	21.25	1	37	38	0	25
215	A	21.25	1	38	39	0	25
216	A	21.25	1	39	40	0	25
217	A	21.25	1	40	41	0	25
218	A	21.25	1	41	42	0	25
219	A	21.25	1	42	43	0	25
220	A	21.25	1	43	Inf	18	25
221	A	23.75	1	0	1	0	25
222	A	23.75	1	1	2	0	25
223	A	23.75	1	2	3	0	25
224	A	23.75	1	3	4	0	25
225	A	23.75	1	4	5	0	25
226	A	23.75	1	5	6	0	25
227	A	23.75	1	6	7	0	25
228	A	23.75	1	7	8	4	25
229	A	23.75	1	8	9	3	25
230	A	23.75	1	9	10	1	25
231	A	23.75	1	10	11	1	25
232	A	23.75	1	11	12	0	25
233	A	23.75	1	12	13	1	25
234	A	23.75	1	13	14	0	25
235	A	23.75	1	14	15	1	25
236	A	23.75	1	15	16	0	25
237	A	23.75	1	16	17	0	25
238	A	23.75	1	17	18	1	25
239	A	23.75	1	18	19	0	25
240	A	23.75	1	19	20	0	25
241	A	23.75	1	20	21	0	25
242	A	23.75	1	21	22	0	25
243	A	23.75	1	22	23	1	25
244	A	23.75	1	23	24	0	25
245	A	23.75	1	24	25	0	25
246	A	23.75	1	25	26	0	25
247	A	23.75	1	26	27	0	25
248	A	23.75	1	27	28	0	25
249	A	23.75	1	28	29	0	25
250	A	23.75	1	29	30	2	25
251	A	23.75	1	30	31	5	25
252	A	23.75	1	31	32	0	25
253	A	23.75	1	32	33	1	25
254	A	23.75	1	33	34	1	25
255	A	23.75	1	34	35	0	25
256	A	23.75	1	35	36	0	25
257	A	23.75	1	36	37	0	25
258	A	23.75	1	37	38	0	25
259	A	23.75	1	38	39	0	25
260	A	23.75	1	39	40	0	25
261	A	23.75	1	40	41	0	25
262	A	23.75	1	41	42	0	25
263	A	23.75	1	42	43	0	25
264	A	23.75	1	43	Inf	3	25
265	A	26.25	1	0	1	0	25
266	A	26.25	1	1	2	0	25
267	A	26.25	1	2	3	0	25
268	A	26.25	1	3	4	0	25
269	A	26.25	1	4	5	0	25
270	A	26.25	1	5	6	0	25
271	A	26.25	1	6	7	0	25
272	A	26.25	1	7	8	1	25
273	A	26.25	1	8	9	0	25
274	A	26.25	1	9	10	0	25
275	A	26.25	1	10	11	5	25
276	A	26.25	1	11	12	3	25
277	A	26.25	1	12	13	3	25
278	A	26.25	1	13	14	0	25
279	A	26.25	1	14	15	0	25
280	A	26.25	1	15	16	0	25
281	A	26.25	1	16	17	0	25
282	A	26.25	1	17	18	0	25
283	A	26.25	1	18	19	0	25
284	A	26.25	1	19	20	0	25
285	A	26.25	1	20	21	1	25
286	A	26.25	1	21	22	1	25
287	A	26.25	1	22	23	7	25
288	A	26.25	1	23	24	0	25
289	A	26.25	1	24	25	0	25
290	A	26.25	1	25	26	0	25
291	A	26.25	1	26	27	0	25
292	A	26.25	1	27	28	0	25
293	A	26.25	1	28	29	0	25
294	A	26.25	1	29	30	0	25
295	A	26.25	1	30	31	0	25
296	A	26.25	1	31	32	0	25
297	A	26.25	1	32	33	1	25
298	A	26.25	1	33	34	0	25
299	A	26.25	1	34	35	0	25
300	A	26.25	1	35	36	0	25
301	A	26.25	1	36	37	0	25
302	A	26.25	1	37	38	0	25
303	A	26.25	1	38	39	0	25
304	A	26.25	1	39	40	0	25
305	A	26.25	1	40	41	0	25
306	A	26.25	1	41	42	0	25
307	A	26.25	1	42	43	0	25
308	A	26.25	1	43	Inf	3	25
309	A	28.75	1	0	1	0	25
310	A	28.75	1	1	2	0	25
311	A	28.75	1	2	3	0	25
312	A	28.75	1	3	4	0	25
313	A	28.75	1	4	5	0	25
314	A	28.75	1	5	6	0	25
315	A	28.75	1	6	7	0	25
316	A	28.75	1	7	8	3	25
317	A	28.75	1	8	9	0	25
318	A	28.75	1	9	10	1	25
319	A	28.75	1	10	11	0	25
320	A	28.75	1	11	12	1	25
321	A	28.75	1	12	13	0	25
322	A	28.75	1	13	14	0	25
323	A	28.75	1	14	15	0	25
324	A	28.75	1	15	16	0	25
325	A	28.75	1	16	17	2	25
326	A	28.75	1	17	18	0	25
327	A	28.75	1	18	19	0	25
328	A	28.75	1	19	20	2	25
329	A	28.75	1	20	21	0	25
330	A	28.75	1	21	22	8	25
331	A	28.75	1	22	23	5	25
332	A	28.75	1	23	24	1	25
333	A	28.75	1	24	25	0	25
334	A	28.75	1	25	26	0	25
335	A	28.75	1	26	27	0	25
336	A	28.75	1	27	28	0	25
337	A	28.75	1	28	29	0	25
338	A	28.75	1	29	30	0	25
339	A	28.75	1	30	31	0	25
340	A	28.75	1	31	32	1	25
341	A	28.75	1	32	33	0	25
342	A	28.75	1	33	34	1	25
343	A	28.75	1	34	35	0	25
344	A	28.75	1	35	36	0	25
345	A	28.75	1	36	37	0	25
346	A	28.75	1	37	38	0	25
347	A	28.75	1	38	39	0	25
348	A	28.75	1	39	40	0	25
349	A	28.75	1	40	41	0	25
350	A	28.75	1	41	42	0	25
351	A	28.75	1	42	43	0	25
352	A	28.75	1	43	Inf	0	25
353	A	31.25	1	0	1	0	20
354	A	31.25	1	1	2	0	20
355	A	31.25	1	2	3	0	20
356	A	31.25	1	3	4	0	20
357	A	31.25	1	4	5	0	20
358	A	31.25	1	5	6	0	20
359	A	31.25	1	6	7	0	20
360	A	31.25	1	7	8	2	20
361	A	31.25	1	8	9	1	20
362	A	31.25	1	9	10	0	20
363	A	31.25	1	10	11	0	20
364	A	31.25	1	11	12	0	20
365	A	31.25	1	12	13	0	20
366	A	31.25	1	13	14	0	20
367	A	31.25	1	14	15	0	20
368	A	31.25	1	15	16	0	20
369	A	31.25	1	16	17	0	20
370	A	31.25	1	17	18	1	20
371	A	31.25	1	18	19	0	20
372	A	31.25	1	19	20	0	20
373	A	31.25	1	20	21	0	20
374	A	31.25	1	21	22	0	20
375	A	31.25	1	22	23	0	20
376	A	31.25	1	23	24	1	20
377	A	31.25	1	24	25	0	20
378	A	31.25	1	25	26	0	20
379	A	31.25	1	26	27	0	20
380	A	31.25	1	27	28	0	20
381	A	31.25	1	28	29	0	20
382	A	31.25	1	29	30	0	20
383	A	31.25	1	30	31	1	20
384	A	31.25	1	31	32	0	20
385	A	31.25	1	32	33	2	20
386	A	31.25	1	33	34	11	20
387	A	31.25	1	34	35	0	20
388	A	31.25	1	35	36	0	20
389	A	31.25	1	36	37	0	20
390	A	31.25	1	37	38	0	20
391	A	31.25	1	38	39	0	20
392	A	31.25	1	39	40	0	20
393	A	31.25	1	40	41	0	20
394	A	31.25	1	41	42	0	20
395	A	31.25	1	42	43	0	20
396	A	31.25	1	43	Inf	1	20
397	A	33.75	1	0	1	0	25
398	A	33.75	1	1	2	0	25
399	A	33.75	1	2	3	0	25
400	A	33.75	1	3	4	0	25
401	A	33.75	1	4	5	0	25
402	A	33.75	1	5	6	0	25
403	A	33.75	1	6	7	0	25
404	A	33.75	1	7	8	0	25
405	A	33.75	1	8	9	0	25
406	A	33.75	1	9	10	0	25
407	A	33.75	1	10	11	0	25
408	A	33.75	1	11	12	0	25
409	A	33.75	1	12	13	0	25
410	A	33.75	1	13	14	0	25
411	A	33.75	1	14	15	0	25
412	A	33.75	1	15	16	0	25
413	A	33.75	1	16	17	0	25
414	A	33.75	1	17	18	0	25
415	A	33.75	1	18	19	0	25
416	A	33.75	1	19	20	0	25
417	A	33.75	1	20	21	0	25
418	A	33.75	1	21	22	0	25
419	A	33.75	1	22	23	0	25
420	A	33.75	1	23	24	0	25
421	A	33.75	1	24	25	0	25
422	A	33.75	1	25	26	0	25
423	A	33.75	1	26	27	0	25
424	A	33.75	1	27	28	0	25
425	A	33.75	1	28	29	0	25
426	A	33.75	1	29	30	0	25
427	A	33.75	1	30	31	2	25
428	A	33.75	1	31	32	2	25
429	A	33.75	1	32	33	1	25
430	A	33.75	1	33	34	4	25
431	A	33.75	1	34	35	0	25
432	A	33.75	1	35	36	0	25
433	A	33.75	1	36	37	0	25
434	A	33.75	1	37	38	0	25
435	A	33.75	1	38	39	0	25
436	A	33.75	1	39	40	0	25
437	A	33.75	1	40	41	0	25
438	A	33.75	1	41	42	0	25
439	A	33.75	1	42	43	0	25
440	A	33.75	1	43	Inf	16	25
441	B	13.75	1	0	1	0	25
442	B	13.75	1	1	2	0	25
443	B	13.75	1	2	3	0	25
444	B	13.75	1	3	4	0	25
445	B	13.75	1	4	5	0	25
446	B	13.75	1	5	6	0	25
447	B	13.75	1	6	7	0	25
448	B	13.75	1	7	8	0	25
449	B	13.75	1	8	9	0	25
450	B	13.75	1	9	10	0	25
451	B	13.75	1	10	11	0	25
452	B	13.75	1	11	12	0	25
453	B	13.75	1	12	13	0	25
454	B	13.75	1	13	14	0	25
455	B	13.75	1	14	15	0	25
456	B	13.75	1	15	16	0	25
457	B	13.75	1	16	17	0	25
458	B	13.75	1	17	18	0	25
459	B	13.75	1	18	19	0	25
460	B	13.75	1	19	20	0	25
461	B	13.75	1	20	21	0	25
462	B	13.75	1	21	22	0	25
463	B	13.75	1	22	23	0	25
464	B	13.75	1	23	24	0	25
465	B	13.75	1	24	25	0	25
466	B	13.75	1	25	26	0	25
467	B	13.75	1	26	27	0	25
468	B	13.75	1	27	28	0	25
469	B	13.75	1	28	29	0	25
470	B	13.75	1	29	30	0	25
471	B	13.75	1	30	31	0	25
472	B	13.75	1	31	32	0	25
473	B	13.75	1	32	33	0	25
474	B	13.75	1	33	34	0	25
475	B	13.75	1	34	35	0	25
476	B	13.75	1	35	36	0	25
477	B	13.75	1	36	37	0	25
478	B	13.75	1	37	38	0	25
479	B	13.75	1	38	39	0	25
480	B	13.75	1	39	40	0	25
481	B	13.75	1	40	41	0	25
482	B	13.75	1	41	42	0	25
483	B	13.75	1	42	43	0	25
484	B	13.75	1	43	Inf	25	25
485	B	16.25	1	0	1	0	25
486	B	16.25	1	1	2	0	25
487	B	16.25	1	2	3	0	25
488	B	16.25	1	3	4	0	25
489	B	16.25	1	4	5	0	25
490	B	16.25	1	5	6	0	25
491	B	16.25	1	6	7	0	25
492	B	16.25	1	7	8	0	25
493	B	16.25	1	8	9	0	25
494	B	16.25	1	9	10	0	25
495	B	16.25	1	10	11	0	25
496	B	16.25	1	11	12	0	25
497	B	16.25	1	12	13	1	25
498	B	16.25	1	13	14	0	25
499	B	16.25	1	14	15	0	25
500	B	16.25	1	15	16	0	25
501	B	16.25	1	16	17	0	25
502	B	16.25	1	17	18	0	25
503	B	16.25	1	18	19	0	25
504	B	16.25	1	19	20	0	25
505	B	16.25	1	20	21	0	25
506	B	16.25	1	21	22	0	25
507	B	16.25	1	22	23	1	25
508	B	16.25	1	23	24	0	25
509	B	16.25	1	24	25	0	25
510	B	16.25	1	25	26	0	25
511	B	16.25	1	26	27	0	25
512	B	16.25	1	27	28	0	25
513	B	16.25	1	28	29	0	25
514	B	16.25	1	29	30	0	25
515	B	16.25	1	30	31	0	25
516	B	16.25	1	31	32	0	25
517	B	16.25	1	32	33	0	25
518	B	16.25	1	33	34	0	25
519	B	16.25	1	34	35	0	25
520	B	16.25	1	35	36	0	25
521	B	16.25	1	36	37	0	25
522	B	16.25	1	37	38	0	25
523	B	16.25	1	38	39	0	25
524	B	16.25	1	39	40	0	25
525	B	16.25	1	40	41	0	25
526	B	16.25	1	41	42	0	25
527	B	16.25	1	42	43	0	25
528	B	16.25	1	43	Inf	23	25
529	B	18.75	1	0	1	0	25
530	B	18.75	1	1	2	0	25
531	B	18.75	1	2	3	0	25
532	B	18.75	1	3	4	0	25
533	B	18.75	1	4	5	0	25
534	B	18.75	1	5	6	0	25
535	B	18.75	1	6	7	0	25
536	B	18.75	1	7	8	0	25
537	B	18.75	1	8	9	0	25
538	B	18.75	1	9	10	3	25
539	B	18.75	1	10	11	2	25
540	B	18.75	1	11	12	7	25
541	B	18.75	1	12	13	1	25
542	B	18.75	1	13	14	2	25
543	B	18.75	1	14	15	2	25
544	B	18.75	1	15	16	0	25
545	B	18.75	1	16	17	0	25
546	B	18.75	1	17	18	0	25
547	B	18.75	1	18	19	0	25
548	B	18.75	1	19	20	0	25
549	B	18.75	1	20	21	0	25
550	B	18.75	1	21	22	0	25
551	B	18.75	1	22	23	0	25
552	B	18.75	1	23	24	0	25
553	B	18.75	1	24	25	0	25
554	B	18.75	1	25	26	0	25
555	B	18.75	1	26	27	0	25
556	B	18.75	1	27	28	0	25
557	B	18.75	1	28	29	0	25
558	B	18.75	1	29	30	0	25
559	B	18.75	1	30	31	0	25
560	B	18.75	1	31	32	0	25
561	B	18.75	1	32	33	0	25
562	B	18.75	1	33	34	0	25
563	B	18.75	1	34	35	0	25
564	B	18.75	1	35	36	0	25
565	B	18.75	1	36	37	0	25
566	B	18.75	1	37	38	0	25
567	B	18.75	1	38	39	0	25
568	B	18.75	1	39	40	0	25
569	B	18.75	1	40	41	0	25
570	B	18.75	1	41	42	0	25
571	B	18.75	1	42	43	0	25
572	B	18.75	1	43	Inf	8	25
573	B	21.25	1	0	1	0	25
574	B	21.25	1	1	2	0	25
575	B	21.25	1	2	3	0	25
576	B	21.25	1	3	4	0	25
577	B	21.25	1	4	5	0	25
578	B	21.25	1	5	6	0	25
579	B	21.25	1	6	7	0	25
580	B	21.25	1	7	8	3	25
581	B	21.25	1	8	9	5	25
582	B	21.25	1	9	10	6	25
583	B	21.25	1	10	11	4	25
584	B	21.25	1	11	12	3	25
585	B	21.25	1	12	13	2	25
586	B	21.25	1	13	14	0	25
587	B	21.25	1	14	15	0	25
588	B	21.25	1	15	16	0	25
589	B	21.25	1	16	17	0	25
590	B	21.25	1	17	18	0	25
591	B	21.25	1	18	19	0	25
592	B	21.25	1	19	20	0	25
593	B	21.25	1	20	21	0	25
594	B	21.25	1	21	22	1	25
595	B	21.25	1	22	23	0	25
596	B	21.25	1	23	24	0	25
597	B	21.25	1	24	25	0	25
598	B	21.25	1	25	26	0	25
599	B	21.25	1	26	27	0	25
600	B	21.25	1	27	28	0	25
601	B	21.25	1	28	29	0	25
602	B	21.25	1	29	30	0	25
603	B	21.25	1	30	31	0	25
604	B	21.25	1	31	32	0	25
605	B	21.25	1	32	33	0	25
