Grouping	Treatment	Dish	Start	End	G	PG	
771	B	31.25	1	22	23	0	25
772	B	31.25	1	23	24	0	25
773	B	31.25	1	24	25	0	25
774	B	31.25	1	25	26	0	25
775	B	31.25	1	26	27	0	25
776	B	31.25	1	27	28	0	25
777	B	31.25	1	28	29	0	25
778	B	31.25	1	29	30	0	25
779	B	31.25	1	30	31	0	25
780	B	31.25	1	31	32	0	25
781	B	31.25	1	32	33	0	25
782	B	31.25	1	33	34	0	25
783	B	31.25	1	34	35	0	25
784	B	31.25	1	35	36	0	25
785	B	31.25	1	36	37	0	25
786	B	31.25	1	37	38	0	25
787	B	31.25	1	38	39	0	25
788	B	31.25	1	39	40	0	25
789	B	31.25	1	40	41	0	25
790	B	31.25	1	41	42	0	25
791	B	31.25	1	42	43	0	25
792	B	31.25	1	43	Inf	25	25
